step,gaussian_node,categorical_node,input_raw,input,index,used_
7,2,2,0,BL21,167,TRUE
8,2,2,0,BL21,168,TRUE
9,2,2,0,BL21,169,TRUE
10,2,2,0,BL21,170,TRUE
11,2,2,0,BL21,171,TRUE
12,2,2,0,BL21,172,TRUE
13,2,2,0,BL21,173,TRUE
14,2,2,0,BL21,174,TRUE
15,2,2,0,BL21,175,TRUE
0,3,2,0,BL21,176,TRUE
1,3,2,0,BL21,177,TRUE
2,3,2,0,BL21,178,TRUE
3,3,2,0,BL21,179,TRUE
4,3,2,0,BL21,180,TRUE
5,3,2,0,BL21,181,TRUE
6,3,2,0,BL21,182,TRUE
7,3,2,0,BL21,183,TRUE
8,3,2,0,BL21,184,TRUE
9,3,2,0,BL21,185,TRUE
10,3,2,0,BL21,186,TRUE
11,3,2,0,BL21,187,TRUE
12,3,2,0,BL21,188,TRUE
13,3,2,0,BL21,189,TRUE
14,3,2,0,BL21,190,TRUE
15,3,2,0,BL21,191,TRUE
0,0,3,0,BL21,192,TRUE
1,0,3,0,BL21,193,TRUE
2,0,3,0,BL21,194,TRUE
3,0,3,0,BL21,195,TRUE
4,0,3,0,BL21,196,TRUE
5,0,3,0,BL21,197,TRUE
6,0,3,0,BL21,198,TRUE
7,0,3,0,BL21,199,TRUE
8,0,3,0,BL21,200,TRUE
9,0,3,0,BL21,201,TRUE
10,0,3,0,BL21,202,TRUE
11,0,3,0,BL21,203,TRUE
12,0,3,0,BL21,204,TRUE
13,0,3,0,BL21,205,TRUE
14,0,3,0,BL21,206,TRUE
15,0,3,0,BL21,207,TRUE
0,1,3,0,BL21,208,TRUE
1,1,3,0,BL21,209,TRUE
2,1,3,0,BL21,210,TRUE
3,1,3,0,BL21,211,TRUE
4,1,3,0,BL21,212,TRUE
5,1,3,0,BL21,213,TRUE
6,1,3,0,BL21,214,TRUE
7,1,3,0,BL21,215,TRUE
8,1,3,0,BL21,216,TRUE
9,1,3,0,BL21,217,TRUE
10,1,3,0,BL21,218,TRUE
11,1,3,0,BL21,219,TRUE
12,1,3,0,BL21,220,TRUE
13,1,3,0,BL21,221,TRUE
14,1,3,0,BL21,222,TRUE
15,1,3,0,BL21,223,TRUE
0,2,3,0,BL21,224,TRUE
1,2,3,0,BL21,225,TRUE
2,2,3,0,BL21,226,TRUE
3,2,3,0,BL21,227,TRUE
4,2,3,0,BL21,228,TRUE
5,2,3,0,BL21,229,TRUE
6,2,3,0,BL21,230,TRUE
7,2,3,0,BL21,231,TRUE
8,2,3,0,BL21,232,TRUE
9,2,3,0,BL21,233,TRUE
10,2,3,0,BL21,234,TRUE
11,2,3,0,BL21,235,TRUE
12,2,3,0,BL21,236,TRUE
13,2,3,0,BL21,237,TRUE
14,2,3,0,BL21,238,TRUE
15,2,3,0,BL21,239,TRUE
0,3,3,0,BL21,240,TRUE
1,3,3,0,BL21,241,TRUE
2,3,3,0,BL21,242,TRUE
3,3,3,0,BL21,243,TRUE
4,3,3,0,BL21,244,TRUE
5,3,3,0,BL21,245,TRUE
6,3,3,0,BL21,246,TRUE
7,3,3,0,BL21,247,TRUE
8,3,3,0,BL21,248,TRUE
9,3,3,0,BL21,249,TRUE
10,3,3,0,BL21,250,TRUE
11,3,3,0,BL21,251,TRUE
12,3,3,0,BL21,252,TRUE
13,3,3,0,BL21,253,TRUE
14,3,3,0,BL21,254,TRUE
15,3,3,0,BL21,255,TRUE
0,0,0,1,C,256,TRUE
1,0,0,1,C,257,TRUE
2,0,0,1,C,258,TRUE
3,0,0,1,C,259,TRUE
4,0,0,1,C,260,TRUE
5,0,0,1,C,261,TRUE
6,0,0,1,C,262,TRUE
7,0,0,1,C,263,TRUE
8,0,0,1,C,264,TRUE
9,0,0,1,C,265,TRUE
10,0,0,1,C,266,TRUE
11,0,0,1,C,267,TRUE
12,0,0,1,C,268,TRUE
13,0,0,1,C,269,TRUE
14,0,0,1,C,270,TRUE
15,0,0,1,C,271,TRUE
0,1,0,1,C,272,TRUE
1,1,0,1,C,273,TRUE
2,1,0,1,C,274,TRUE
3,1,0,1,C,275,TRUE
4,1,0,1,C,276,TRUE
5,1,0,1,C,277,TRUE
6,1,0,1,C,278,TRUE
7,1,0,1,C,279,TRUE
8,1,0,1,C,280,TRUE
9,1,0,1,C,281,TRUE
10,1,0,1,C,282,TRUE
11,1,0,1,C,283,TRUE
12,1,0,1,C,284,TRUE
13,1,0,1,C,285,TRUE
14,1,0,1,C,286,TRUE
15,1,0,1,C,287,TRUE
0,2,0,1,C,288,TRUE
1,2,0,1,C,289,TRUE
2,2,0,1,C,290,TRUE
3,2,0,1,C,291,TRUE
4,2,0,1,C,292,TRUE
5,2,0,1,C,293,TRUE
6,2,0,1,C,294,TRUE
7,2,0,1,C,295,TRUE
8,2,0,1,C,296,TRUE
9,2,0,1,C,297,TRUE
10,2,0,1,C,298,TRUE
11,2,0,1,C,299,TRUE
12,2,0,1,C,300,TRUE
13,2,0,1,C,301,TRUE
14,2,0,1,C,302,TRUE
15,2,0,1,C,303,TRUE
0,3,0,1,C,304,TRUE
1,3,0,1,C,305,TRUE
2,3,0,1,C,306,TRUE
3,3,0,1,C,307,TRUE
4,3,0,1,C,308,TRUE
5,3,0,1,C,309,TRUE
6,3,0,1,C,310,TRUE
7,3,0,1,C,311,TRUE
8,3,0,1,C,312,TRUE
9,3,0,1,C,313,TRUE
10,3,0,1,C,314,TRUE
11,3,0,1,C,315,TRUE
12,3,0,1,C,316,TRUE
13,3,0,1,C,317,TRUE
14,3,0,1,C,318,TRUE
15,3,0,1,C,319,TRUE
0,0,1,1,C,320,TRUE
1,0,1,1,C,321,TRUE
2,0,1,1,C,322,TRUE
3,0,1,1,C,323,TRUE
4,0,1,1,C,324,TRUE
5,0,1,1,C,325,TRUE
6,0,1,1,C,326,TRUE
7,0,1,1,C,327,TRUE
8,0,1,1,C,328,TRUE
9,0,1,1,C,329,TRUE
10,0,1,1,C,330,TRUE
11,0,1,1,C,331,TRUE
12,0,1,1,C,332,TRUE
13,0,1,1,C,333,TRUE
14,0,1,1,C,334,TRUE
15,0,1,1,C,335,TRUE
0,1,1,1,C,336,TRUE
1,1,1,1,C,337,TRUE
2,1,1,1,C,338,TRUE
3,1,1,1,C,339,TRUE
4,1,1,1,C,340,TRUE
5,1,1,1,C,341,TRUE
6,1,1,1,C,342,TRUE
7,1,1,1,C,343,TRUE
8,1,1,1,C,344,TRUE
9,1,1,1,C,345,TRUE
