,label,step,gaussian_node,categorical_node,input,index,metric_value,metric_name,input_raw,used_
35,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,6,1,3,BL21,214,89.86442,Validation_PercentDifference-Mean,0,TRUE
36,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,2,3,C,485,92.90744,Validation_PercentDifference-Mean,1,TRUE
37,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,3,3,3,Crooks,755,90.35036,Validation_PercentDifference-Mean,2,TRUE
38,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,0,3,DH5a,965,91.84614,Validation_PercentDifference-Mean,3,TRUE
39,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,2,3,MG1655,1253,79.953636,Validation_PercentDifference-Mean,4,TRUE
40,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,5,3,3,W,1525,100.35599,Validation_PercentDifference-Mean,5,TRUE
41,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog100_MSE_01,9,0,3,W3110,1737,93.813515,Validation_PercentDifference-Mean,6,TRUE
42,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,3,BL21,239,2.748793,Training_EuclideanDist-Mean,0,TRUE
43,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,1,3,C,479,3.222598,Training_EuclideanDist-Mean,1,TRUE
44,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,14,2,3,Crooks,750,2.593239,Training_EuclideanDist-Mean,2,TRUE
45,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,2,3,DH5a,1007,2.931948,Training_EuclideanDist-Mean,3,TRUE
46,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,8,2,3,MG1655,1256,2.163803,Training_EuclideanDist-Mean,4,TRUE
47,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,0,3,2,W,1456,2.326029,Training_EuclideanDist-Mean,5,TRUE
48,IndustrialStrains0103_FC-16-4C4D-16_Unsupervised_Sampled_FCLog10_MSE_01,15,1,1,W3110,1631,2.567883,Training_EuclideanDist-Mean,6,TRUE
